,bike_name,price,kms_driven,age,brand,Owner_Type
5111,Bajaj Platina 100cc,50000,200,3,Bajaj,0
5112,KTM Duke 390cc,140000,7000,6,KTM,0
5113,Bajaj Discover 125M,36000,4838,4,Bajaj,0
5114,Bajaj Discover 100M,32000,26500,7,Bajaj,0
5115,TVS Apache RTR,100000,1300,4,TVS,0
5116,Yamaha FZ S,55000,43000,5,Yamaha,0
5117,Royal Enfield Bullet,62000,23367,15,Royal Enfield,0
5118,Yamaha YZF-R15 2.0,60000,18200,9,Yamaha,0
5119,Hero CBZ Xtreme,28000,25000,9,Hero,0
5120,KTM Duke 200cc,120000,16000,7,KTM,2
5121,Honda CB Unicorn,20000,35063,13,Honda,2
5122,Yamaha FZ S,73000,14000,3,Yamaha,0
5123,Bajaj Avenger Street,45000,15000,5,Bajaj,0
5124,Royal Enfield Classic,170000,6000,3,Royal Enfield,0
5125,Bajaj Avenger 220cc,55000,38000,6,Bajaj,0
5126,Bajaj Avenger Street,83100,13450,4,Bajaj,0
5127,Hero Splendor iSmart,25000,50000,7,Hero,0
5128,Honda CB ShineSP,39200,16500,5,Honda,2
5129,Royal Enfield Classic,141000,4625,3,Royal Enfield,0
5130,Royal Enfield Classic,134400,1550,4,Royal Enfield,0
5131,Bajaj Pulsar 150cc,15000,70000,13,Bajaj,0
5132,Royal Enfield Bullet,78500,35596,6,Royal Enfield,0
5133,Royal Enfield Thunderbird,170000,500,2,Royal Enfield,0
5134,Bajaj Discover 125cc,52000,3400,3,Bajaj,0
5135,Hero Splendor Plus,29500,36484,8,Hero,0
5136,Honda CB Trigger,36000,30000,7,Honda,0
5137,Bajaj Avenger Street,65000,30000,4,Bajaj,0
5138,Bajaj Avenger 220cc,50000,1234,7,Bajaj,2
5139,Yamaha FZ16 150cc,42500,16435,7,Yamaha,0
5140,Yamaha FZ S,43000,60000,7,Yamaha,0
5141,Honda CBR 250R,80000,35000,10,Honda,0
5142,Hero Splendor Pro,21000,7100,9,Hero,0
5143,Yamaha FZ16 150cc,45000,72354,10,Yamaha,0
5145,Bajaj Pulsar 150cc,29500,25000,10,Bajaj,0
5146,Bajaj Pulsar 220F,38000,58816,11,Bajaj,0
5147,Honda CBR 250R,150000,2200,4,Honda,0
5148,Hero Passion Pro,30000,22560,7,Hero,0
5149,Royal Enfield Classic,115000,18057,5,Royal Enfield,2
5150,Hero Super Splendor,19000,78822,8,Hero,0
5151,Yamaha Fazer 150cc,34000,38000,11,Yamaha,0
5152,Hero Karizma ZMR,28000,14256,12,Hero,0
5153,Royal Enfield Bullet,125000,9858,4,Royal Enfield,0
5154,KTM RC 390cc,110000,25327,5,KTM,0
5155,Bajaj Avenger 220cc,41000,71303,6,Bajaj,0
5156,Bajaj Pulsar 180cc,20000,57500,14,Bajaj,2
5157,Hero CD Deluxe,11000,20000,12,Hero,0
5158,Royal Enfield Classic,109000,13000,6,Royal Enfield,0
5159,Bajaj Pulsar 220F,63000,21000,4,Bajaj,0
5160,Bajaj V15 150cc,41999,54362,4,Bajaj,0
5161,Bajaj Pulsar RS200,87000,35450,6,Bajaj,0
5162,Hero Glamour 125cc,41400,21000,4,Hero,0
5163,TVS Star 100cc,9000,72378,15,TVS,0
5164,Bajaj  Pulsar,22000,54000,13,Bajaj,2
5165,Royal Enfield Bullet,123400,5000,4,Royal Enfield,0
5166,Honda CBF Stunner,17000,35655,10,Honda,0
5167,Bajaj XCD 135,18000,42000,11,Bajaj,0
5168,Bajaj Pulsar RS200,82500,13000,6,Bajaj,0
5169,Suzuki Gixxer SF,70000,7900,6,Suzuki,0
5170,Royal Enfield Classic,141000,4625,3,Royal Enfield,0
5171,Royal Enfield Classic,134400,1550,4,Royal Enfield,0
5172,Bajaj Pulsar 150cc,15000,70000,13,Bajaj,0
5173,Royal Enfield Bullet,78500,35596,6,Royal Enfield,0
5174,Royal Enfield Thunderbird,170000,500,2,Royal Enfield,0
5175,Bajaj Discover 125cc,52000,3400,3,Bajaj,0
5176,Hero Splendor Plus,29500,36484,8,Hero,0
5177,Honda CB Hornet,51000,24800,5,Honda,0
5178,KTM Duke 250cc,155000,7563,3,KTM,0
5179,Royal Enfield Bullet,75068,16919,9,Royal Enfield,0
5180,Royal Enfield Thunderbird,153000,10000,3,Royal Enfield,0
5181,Honda CB Trigger,36000,30000,7,Honda,0
5182,Bajaj Avenger Street,65000,30000,4,Bajaj,0
5183,Bajaj Avenger 220cc,50000,1234,7,Bajaj,2
5184,Hero Karizma ZMR,35300,55000,8,Hero,0
5185,Hero Karizma R,22000,16750,10,Hero,0
5186,Bajaj V15 150cc,36800,41090,4,Bajaj,2
5187,Bajaj Avenger Street,49000,13281,5,Bajaj,0
5188,Bajaj V12 125cc,37000,29094,4,Bajaj,0
5189,Honda CBF Stunner,21400,45000,8,Honda,0
5190,Royal Enfield Bullet,93000,4761,6,Royal Enfield,0
5191,Suzuki Intruder SP,100000,9200,3,Suzuki,0
5192,Suzuki Intruder SP,100500,6000,3,Suzuki,0
